year,team1_Name,team2_Name,winningTeam,mapName,team1Score,team2Score,team1Agents,team2Agents,agentsPicked
2022,G2 Esports,LOUD,LOUD,Ascent,5,13,"Cypher, Jett, Omen, Sage, Sova","Jett, Kayo, Killjoy, Omen, Sova","Sage, Sova, Omen, Cypher, Jett, Sova, Killjoy, Jett, Kayo, Omen"
2022,G2 Esports,LOUD,LOUD,Breeze,11,13,"Chamber, Jett, Kayo, Sova, Viper","Chamber, Jett, Kayo, Sova, Viper","Kayo, Sova, Jett, Chamber, Viper, Sova, Jett, Chamber, Viper, Kayo"
2022,DRX,ZETA DIVISION,ZETA DIVISION,Icebox,11,13,"Jett, Kayo, Sage, Sova, Viper","Chamber, Jett, Sage, Sova, Viper","Sova, Kayo, Viper, Sage, Jett, Chamber, Viper, Sova, Jett, Sage"
2022,DRX,ZETA DIVISION,DRX,Ascent,13,10,"Astra, Chamber, Jett, Skye, Sova","Astra, Chamber, Jett, Killjoy, Sova","Chamber, Astra, Sova, Skye, Jett, Jett, Astra, Sova, Chamber, Killjoy"
2022,DRX,ZETA DIVISION,ZETA DIVISION,Split,4,13,"Astra, Jett, Sage, Skye, Viper","Astra, Raze, Sage, Skye, Viper","Skye, Sage, Viper, Astra, Jett, Raze, Skye, Astra, Sage, Viper"
2022,G2 Esports,Paper Rex,Paper Rex,Split,10,13,"Breach, Chamber, Omen, Raze, Sage","Cypher, Jett, Omen, Raze, Sage","Sage, Raze, Chamber, Omen, Breach, Jett, Omen, Raze, Cypher, Sage"
2022,G2 Esports,Paper Rex,Paper Rex,Bind,7,13,"Chamber, Omen, Raze, Skye, Viper","Breach, Brimstone, Raze, Skye, Yoru","Viper, Chamber, Raze, Skye, Omen, Yoru, Raze, Skye, Breach, Brimstone"
2022,LOUD,OpTic Gaming,OpTic Gaming,Fracture,2,13,"Breach, Brimstone, Chamber, Raze, Viper","Breach, Brimstone, Chamber, Kayo, Neon","Raze, Breach, Viper, Brimstone, Chamber, Neon, Chamber, Brimstone, Breach, Kayo"
2022,LOUD,OpTic Gaming,LOUD,Ascent,13,8,"Jett, Kayo, Killjoy, Omen, Sova","Jett, Kayo, Killjoy, Omen, Sova","Killjoy, Omen, Kayo, Jett, Sova, Sova, Jett, Omen, Kayo, Killjoy"
2022,LOUD,OpTic Gaming,LOUD,Icebox,13,11,"Chamber, Jett, Sage, Sova, Viper","Chamber, Kayo, Sage, Sova, Viper","Viper, Sova, Chamber, Sage, Jett, Sova, Viper, Chamber, Kayo, Sage"
