year,team1Encoded,team2Encoded,encodedMapName,team1Score,team2Score,agent1Encoded,agent2Encoded,agent3Encoded,agent4Encoded,agent5Encoded,agent6Encoded,agent7Encoded,agent8Encoded,agent9Encoded,agent10Encoded,team1Agents,team2Agents
2021,23,50,3,6,13,8,13,14,6,12,8,11,21,13,14,"8, 13, 14, 6, 12","8, 11, 21, 13, 14"
2021,23,50,7,8,13,14,8,12,13,19,11,8,13,14,18,"14, 8, 12, 13, 19","11, 8, 13, 14, 18"
2021,38,64,2,13,2,12,11,14,19,13,8,13,6,14,21,"12, 11, 14, 19, 13","8, 13, 6, 14, 21"
2021,38,64,4,16,14,11,12,14,19,13,13,18,8,19,14,"11, 12, 14, 19, 13","13, 18, 8, 19, 14"
2021,64,5,2,6,13,8,14,13,6,21,13,14,6,1,11,"8, 14, 13, 6, 21","13, 14, 6, 1, 11"
2021,64,5,3,11,13,8,21,13,6,14,11,6,21,13,14,"8, 21, 13, 6, 14","11, 6, 21, 13, 14"
2021,23,60,4,13,8,8,12,14,13,19,19,11,14,1,13,"8, 12, 14, 13, 19","19, 11, 14, 1, 13"
2021,23,60,2,13,10,12,14,6,8,13,8,11,13,14,19,"12, 14, 6, 8, 13","8, 11, 13, 14, 19"
2021,50,38,3,5,13,8,11,14,21,13,1,13,11,14,21,"8, 11, 14, 21, 13","1, 13, 11, 14, 21"
2021,50,38,4,8,13,11,14,8,18,13,12,11,19,14,13,"11, 14, 8, 18, 13","12, 11, 19, 14, 13"
2021,5,23,2,4,13,6,1,11,14,13,12,13,8,14,6,"6, 1, 11, 14, 13","12, 13, 8, 14, 6"
2021,5,23,4,13,10,14,12,11,13,19,12,8,13,19,14,"14, 12, 11, 13, 19","12, 8, 13, 19, 14"
2021,5,23,7,13,8,13,8,19,14,11,8,14,12,19,13,"13, 8, 19, 14, 11","8, 14, 12, 19, 13"
2021,50,5,2,13,8,11,8,13,14,6,1,6,11,14,13,"11, 8, 13, 14, 6","1, 6, 11, 14, 13"
2021,50,5,7,13,9,11,13,14,8,18,8,19,13,14,21,"11, 13, 14, 8, 18","8, 19, 13, 14, 21"
2021,38,50,2,13,11,11,13,19,12,14,11,6,8,13,14,"11, 13, 19, 12, 14","11, 6, 8, 13, 14"
2021,38,50,7,13,7,19,1,8,14,13,8,11,18,13,14,"19, 1, 8, 14, 13","8, 11, 18, 13, 14"
2021,38,50,4,13,4,19,12,11,13,14,11,12,13,14,18,"19, 12, 11, 13, 14","11, 12, 13, 14, 18"
2021,58,0,4,13,5,21,11,6,16,2,3,21,6,16,2,"21, 11, 6, 16, 2","3, 21, 6, 16, 2"
2021,58,0,3,13,4,11,6,3,14,21,6,3,14,21,11,"11, 6, 3, 14, 21","6, 3, 14, 21, 11"
2021,67,2,2,13,11,12,6,11,14,2,8,2,14,11,6,"12, 6, 11, 14, 2","8, 2, 14, 11, 6"
2021,67,2,3,13,10,11,12,14,13,3,6,8,14,11,13,"11, 12, 14, 13, 3","6, 8, 14, 11, 13"
2021,55,65,4,13,5,21,14,8,6,13,14,11,2,8,18,"21, 14, 8, 6, 13","14, 11, 2, 8, 18"
2021,55,65,7,5,13,16,3,7,8,14,13,14,8,11,18,"16, 3, 7, 8, 14","13, 14, 8, 11, 18"
2021,55,65,2,5,13,8,13,14,12,6,14,6,16,2,11,"8, 13, 14, 12, 6","14, 6, 16, 2, 11"
2021,61,76,3,13,11,11,14,6,8,13,11,19,16,3,14,"11, 14, 6, 8, 13","11, 19, 16, 3, 14"
2021,61,76,2,14,12,14,6,13,8,12,21,14,6,2,16,"14, 6, 13, 8, 12","21, 14, 6, 2, 16"
2021,48,67,8,16,14,3,21,16,7,11,11,21,2,3,6,"3, 21, 16, 7, 11","11, 21, 2, 3, 6"
2021,48,67,2,11,13,11,12,6,14,13,11,6,14,2,3,"11, 12, 6, 14, 13","11, 6, 14, 2, 3"
2021,48,67,4,4,13,21,7,3,16,6,6,14,11,3,2,"21, 7, 3, 16, 6","6, 14, 11, 3, 2"
2021,38,58,3,13,11,11,1,3,21,14,3,6,14,21,11,"11, 1, 3, 21, 14","3, 6, 14, 21, 11"
2021,38,58,4,13,10,11,19,2,14,12,11,2,21,16,6,"11, 19, 2, 14, 12","11, 2, 21, 16, 6"
2021,76,2,4,13,9,3,2,11,16,6,12,6,11,14,2,"3, 2, 11, 16, 6","12, 6, 11, 14, 2"
2021,76,2,3,13,5,19,18,3,11,14,6,11,14,3,21,"19, 18, 3, 11, 14","6, 11, 14, 3, 21"
2021,55,0,3,5,13,8,14,13,21,11,14,11,21,6,3,"8, 14, 13, 21, 11","14, 11, 21, 6, 3"
2021,55,0,7,6,13,8,7,3,14,16,7,3,16,21,8,"8, 7, 3, 14, 16","7, 3, 16, 21, 8"
2021,38,61,3,13,7,1,11,14,21,3,14,8,6,13,11,"1, 11, 14, 21, 3","14, 8, 6, 13, 11"
2021,38,61,4,13,6,11,12,14,19,2,14,2,12,8,19,"11, 12, 14, 19, 2","14, 2, 12, 8, 19"
2021,67,65,4,13,3,6,11,3,14,2,8,11,14,2,18,"6, 11, 3, 14, 2","8, 11, 14, 2, 18"
2021,67,65,2,13,15,14,2,3,6,11,2,14,6,11,16,"14, 2, 3, 6, 11","2, 14, 6, 11, 16"
2021,67,65,8,12,14,6,2,3,11,21,8,13,18,11,6,"6, 2, 3, 11, 21","8, 13, 18, 11, 6"
2021,58,76,3,13,4,3,21,6,14,11,14,18,11,6,3,"3, 21, 6, 14, 11","14, 18, 11, 6, 3"
2021,58,76,4,13,9,21,16,11,2,6,2,3,16,11,6,"21, 16, 11, 2, 6","2, 3, 16, 11, 6"
2021,48,0,8,13,2,21,16,11,7,3,6,21,13,8,11,"21, 16, 11, 7, 3","6, 21, 13, 8, 11"
2021,48,0,2,13,9,13,12,14,11,6,6,21,14,13,11,"13, 12, 14, 11, 6","6, 21, 14, 13, 11"
2021,67,58,3,12,14,14,11,13,6,3,11,6,14,21,3,"14, 11, 13, 6, 3","11, 6, 14, 21, 3"
2021,67,58,2,6,13,2,14,12,6,11,13,11,3,16,19,"2, 14, 12, 6, 11","13, 11, 3, 16, 19"
2021,61,48,2,8,13,6,2,14,5,11,11,13,21,6,14,"6, 2, 14, 5, 11","11, 13, 21, 6, 14"
2021,61,48,4,5,13,14,5,11,19,2,6,21,7,16,3,"14, 5, 11, 19, 2","6, 21, 7, 16, 3"
2021,38,65,7,13,5,8,1,3,14,2,14,8,18,11,13,"8, 1, 3, 14, 2","14, 8, 18, 11, 13"
2021,38,65,4,13,4,12,11,14,19,2,18,13,11,14,8,"12, 11, 14, 19, 2","18, 13, 11, 14, 8"
2021,58,48,7,13,10,3,8,7,16,14,3,7,11,16,21,"3, 8, 7, 16, 14","3, 7, 11, 16, 21"
2021,58,48,2,13,10,19,3,16,11,13,21,13,14,11,6,"19, 3, 16, 11, 13","21, 13, 14, 11, 6"
2021,65,58,7,8,13,14,13,8,11,18,8,14,16,3,7,"14, 13, 8, 11, 18","8, 14, 16, 3, 7"
2021,65,58,2,13,8,11,2,14,6,16,11,19,3,13,16,"11, 2, 14, 6, 16","11, 19, 3, 13, 16"
2021,65,58,4,8,13,14,11,13,19,12,16,2,6,11,21,"14, 11, 13, 19, 12","16, 2, 6, 11, 21"
2021,38,58,8,14,12,21,2,8,11,19,19,16,3,2,11,"21, 2, 8, 11, 19","19, 16, 3, 2, 11"
2021,38,58,7,16,14,1,14,2,3,8,3,7,14,8,16,"1, 14, 2, 3, 8","3, 7, 14, 8, 16"
2021,38,58,4,13,11,14,11,19,12,2,6,16,21,11,2,"14, 11, 19, 12, 2","6, 16, 21, 11, 2"
2021,18,48,3,13,10,14,6,21,11,3,3,14,1,11,21,"14, 6, 21, 11, 3","3, 14, 1, 11, 21"
2021,18,48,7,7,13,1,8,14,3,2,21,8,7,11,19,"1, 8, 14, 3, 2","21, 8, 7, 11, 19"
2021,18,48,8,13,11,1,6,8,2,21,18,21,8,19,13,"1, 6, 8, 2, 21","18, 21, 8, 19, 13"
2021,32,8,3,13,4,14,18,6,3,11,11,6,3,14,18,"14, 18, 6, 3, 11","11, 6, 3, 14, 18"
2021,32,8,4,14,12,18,14,19,8,2,6,21,2,16,3,"18, 14, 19, 8, 2","6, 21, 2, 16, 3"
2021,56,37,2,13,11,6,3,2,16,21,21,11,14,19,13,"6, 3, 2, 16, 21","21, 11, 14, 19, 13"
2021,56,37,8,2,13,13,21,8,19,18,19,8,21,13,11,"13, 21, 8, 19, 18","19, 8, 21, 13, 11"
2021,56,37,1,13,9,6,11,2,3,16,19,11,16,3,14,"6, 11, 2, 3, 16","19, 11, 16, 3, 14"
2021,16,7,2,15,13,14,18,21,13,12,8,14,13,6,21,"14, 18, 21, 13, 12","8, 14, 13, 6, 21"
2021,16,7,7,13,7,13,21,9,16,8,14,8,13,18,19,"13, 21, 9, 16, 8","14, 8, 13, 18, 19"
2021,40,18,1,13,7,11,14,3,19,16,16,1,14,19,3,"11, 14, 3, 19, 16","16, 1, 14, 19, 3"
2021,40,18,3,17,15,21,11,3,1,14,14,11,21,3,6,"21, 11, 3, 1, 14","14, 11, 21, 3, 6"
2021,42,32,2,13,8,13,21,19,14,11,2,11,18,14,6,"13, 21, 19, 14, 11","2, 11, 18, 14, 6"
2021,42,32,3,19,17,11,3,14,21,1,3,14,6,18,11,"11, 3, 14, 21, 1","3, 14, 6, 18, 11"
2021,14,56,3,13,2,1,14,11,3,21,21,3,14,11,6,"1, 14, 11, 3, 21","21, 3, 14, 11, 6"
2021,21,16,2,13,6,11,6,13,14,21,18,13,21,12,14,"11, 6, 13, 14, 21","18, 13, 21, 12, 14"
2021,56,48,4,1,13,3,6,11,2,16,13,19,11,16,18,"3, 6, 11, 2, 16","13, 19, 11, 16, 18"
